id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
39227,34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,288,2,3,1,success,-1.8,93.369,-34.8,0.652,5008.7,1
20442,46,services,married,unknown,no,no,no,cellular,aug,tue,177,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
32052,39,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,155,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
12589,41,admin.,divorced,basic.6y,no,no,no,telephone,jul,mon,141,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
5657,30,technician,single,unknown,no,yes,no,telephone,may,mon,144,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
39225,55,unemployed,divorced,university.degree,no,no,no,cellular,mar,tue,212,3,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,1
40891,33,blue-collar,single,basic.4y,no,yes,no,cellular,oct,fri,146,1,999,1,failure,-1.1,94.601,-49.5,0.972,4963.6,0
28260,46,services,married,high.school,no,no,no,cellular,apr,wed,325,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0
25727,38,blue-collar,divorced,high.school,no,yes,yes,cellular,nov,wed,291,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
18239,36,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,wed,103,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
22197,30,technician,single,professional.course,no,yes,no,cellular,aug,thu,121,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
9349,34,technician,single,high.school,no,no,no,telephone,jun,fri,236,7,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
40409,63,retired,married,basic.4y,no,no,no,cellular,aug,thu,163,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,0
41122,46,admin.,single,university.degree,no,yes,no,cellular,nov,tue,1166,3,999,1,failure,-1.1,94.767,-50.8,1.046,4963.6,0
39928,44,self-employed,divorced,professional.course,no,yes,yes,cellular,jun,thu,134,1,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,0
19320,55,retired,married,basic.4y,unknown,yes,yes,cellular,aug,wed,89,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
35333,32,admin.,single,university.degree,no,no,no,cellular,may,fri,800,5,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
13417,34,admin.,married,university.degree,no,no,no,cellular,jul,wed,266,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
6197,33,self-employed,married,university.degree,no,no,no,telephone,may,tue,367,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
29155,34,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,70,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
29684,23,admin.,married,high.school,no,no,no,cellular,apr,mon,297,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
32096,39,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,138,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
1818,30,technician,married,university.degree,no,no,no,telephone,may,fri,282,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
30363,41,technician,divorced,professional.course,no,no,no,cellular,apr,thu,774,2,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,1
23738,55,unknown,married,unknown,unknown,yes,no,cellular,aug,thu,60,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
9455,30,admin.,married,university.degree,no,no,no,telephone,jun,fri,75,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
15660,48,services,divorced,high.school,no,no,yes,cellular,jul,mon,88,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
37708,36,technician,single,professional.course,no,yes,no,cellular,aug,thu,474,1,999,0,nonexistent,-2.9,92.201,-31.4,0.851,5076.2,1
24991,46,self-employed,married,basic.4y,no,yes,yes,cellular,nov,tue,162,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,0
28165,48,admin.,single,high.school,no,no,no,cellular,apr,mon,223,2,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,0
9607,36,entrepreneur,married,high.school,no,yes,no,telephone,jun,mon,112,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
4724,53,self-employed,married,university.degree,no,yes,no,telephone,may,wed,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
1140,56,retired,married,basic.9y,no,yes,yes,telephone,may,wed,71,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
19679,48,blue-collar,married,unknown,unknown,unknown,unknown,cellular,aug,thu,642,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
32137,35,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,211,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
19710,50,entrepreneur,married,professional.course,unknown,yes,no,cellular,aug,thu,293,4,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
29789,32,technician,single,professional.course,no,yes,yes,cellular,apr,mon,230,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
10448,37,technician,single,university.degree,no,no,no,telephone,jun,mon,182,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
2061,56,services,divorced,high.school,unknown,no,no,telephone,may,mon,154,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
14671,35,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,120,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
34203,51,blue-collar,married,basic.4y,no,yes,no,cellular,may,wed,440,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1
39955,51,admin.,married,university.degree,no,no,no,cellular,jun,mon,297,4,999,0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,1
28682,44,technician,divorced,professional.course,unknown,yes,no,cellular,apr,thu,172,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
332,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,121,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
18360,36,unemployed,married,university.degree,no,no,no,cellular,jul,thu,616,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
22341,47,admin.,single,university.degree,no,no,no,cellular,aug,thu,310,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
19792,30,technician,single,professional.course,no,yes,no,cellular,aug,fri,126,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
18473,32,admin.,married,university.degree,no,no,no,cellular,jul,thu,46,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
18114,39,admin.,married,university.degree,unknown,yes,no,telephone,jul,wed,197,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
37959,71,retired,married,professional.course,no,no,no,cellular,sep,fri,313,1,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,0
25449,34,admin.,single,high.school,no,no,no,cellular,nov,wed,347,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0
495,32,admin.,single,university.degree,unknown,unknown,unknown,telephone,may,tue,49,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
7345,58,services,married,basic.4y,no,no,no,telephone,may,fri,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0
13386,21,blue-collar,single,basic.9y,no,no,no,cellular,jul,wed,219,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
34981,39,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,8,6,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
3052,39,entrepreneur,married,high.school,unknown,no,yes,telephone,may,wed,173,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
24928,39,management,married,high.school,no,yes,no,cellular,nov,tue,84,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0
4235,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,107,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
6067,40,admin.,single,high.school,no,no,no,telephone,may,tue,371,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
21636,49,admin.,married,high.school,no,no,no,cellular,aug,tue,15,13,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
5191,48,technician,single,high.school,no,yes,yes,telephone,may,fri,115,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
4556,25,admin.,single,high.school,no,no,no,telephone,may,tue,268,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
14767,49,blue-collar,divorced,unknown,unknown,yes,no,cellular,jul,wed,284,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
32972,33,blue-collar,single,basic.9y,unknown,no,no,cellular,may,mon,130,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
17124,35,services,single,basic.9y,no,no,no,cellular,jul,fri,61,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
14133,33,entrepreneur,married,university.degree,no,no,no,cellular,jul,mon,611,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
7888,36,housemaid,married,basic.4y,no,no,no,telephone,jun,mon,152,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
4570,49,admin.,single,high.school,no,no,no,telephone,may,tue,363,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
34905,30,management,married,university.degree,no,no,no,cellular,may,fri,67,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
40274,77,retired,married,basic.4y,no,unknown,unknown,cellular,jul,tue,218,2,3,1,success,-1.7,94.215,-40.3,0.893,4991.6,1
5378,34,management,married,university.degree,no,yes,no,telephone,may,fri,247,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
34282,48,management,divorced,university.degree,unknown,no,no,cellular,may,thu,33,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
17486,44,management,married,high.school,unknown,no,yes,telephone,jul,mon,73,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
1351,50,unemployed,married,professional.course,no,no,no,telephone,may,thu,189,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
16813,49,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,134,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
37458,28,admin.,single,university.degree,no,no,no,cellular,aug,thu,489,5,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,1
1939,50,blue-collar,divorced,basic.9y,no,no,no,telephone,may,fri,878,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
36336,40,admin.,single,high.school,no,yes,no,cellular,jun,tue,154,1,999,1,failure,-2.9,92.963,-40.8,1.262,5076.2,0
35122,48,services,married,basic.9y,unknown,no,no,cellular,may,fri,18,8,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
18772,32,technician,married,university.degree,no,yes,yes,telephone,jul,thu,50,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
9568,29,admin.,married,high.school,no,no,no,telephone,jun,mon,255,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
32590,29,admin.,single,high.school,no,yes,no,telephone,may,mon,26,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
27615,55,entrepreneur,divorced,university.degree,no,no,no,cellular,nov,fri,110,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
7012,45,unknown,married,unknown,unknown,yes,no,telephone,may,thu,56,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
8062,52,technician,divorced,professional.course,unknown,yes,no,telephone,jun,mon,56,8,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
34208,32,technician,single,university.degree,no,yes,no,cellular,may,wed,75,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
6304,38,technician,married,professional.course,unknown,yes,no,telephone,may,tue,153,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
38338,33,admin.,single,university.degree,no,yes,no,cellular,oct,fri,233,1,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,1
23490,29,technician,single,professional.course,no,yes,no,cellular,aug,thu,94,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
21452,37,admin.,married,university.degree,no,yes,no,cellular,aug,tue,198,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
39343,80,retired,married,basic.4y,no,yes,no,cellular,mar,thu,156,1,999,0,nonexistent,-1.8,93.369,-34.8,0.635,5008.7,1
27231,57,management,married,university.degree,no,yes,no,telephone,nov,fri,109,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0
34745,37,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,604,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1
7736,40,admin.,married,high.school,unknown,no,yes,telephone,may,fri,84,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0
16241,43,services,divorced,unknown,unknown,yes,yes,cellular,jul,tue,483,7,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
26864,22,blue-collar,single,basic.4y,no,yes,no,telephone,nov,thu,16,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0
31619,41,self-employed,married,professional.course,no,yes,no,cellular,may,thu,46,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
12563,35,blue-collar,single,basic.6y,unknown,yes,no,cellular,jul,mon,153,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
15594,37,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,mon,179,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
31958,44,technician,divorced,professional.course,no,yes,no,cellular,may,thu,245,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
18341,32,blue-collar,single,high.school,no,no,no,telephone,jul,thu,234,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
21710,60,retired,married,basic.4y,unknown,no,no,cellular,aug,tue,332,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
31593,36,blue-collar,married,unknown,no,yes,no,cellular,may,thu,131,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
6808,51,admin.,divorced,university.degree,no,unknown,unknown,telephone,may,wed,160,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
6814,36,entrepreneur,married,university.degree,no,no,no,telephone,may,wed,386,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
28315,46,services,married,high.school,no,yes,no,cellular,apr,wed,201,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0
28616,30,management,single,university.degree,no,no,no,cellular,apr,wed,244,3,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
40618,33,admin.,married,university.degree,no,no,no,cellular,sep,mon,369,3,999,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,1
35479,36,admin.,married,high.school,unknown,yes,yes,cellular,may,mon,264,1,10,1,success,-1.8,92.893,-46.2,1.244,5099.1,0
29338,27,unemployed,single,basic.9y,no,no,no,cellular,apr,fri,48,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
7308,37,services,married,high.school,unknown,yes,yes,telephone,may,thu,73,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
35385,50,entrepreneur,married,high.school,no,yes,yes,cellular,may,fri,1326,6,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
31361,37,services,married,high.school,no,yes,no,cellular,may,wed,130,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0
30128,24,technician,single,university.degree,no,yes,no,cellular,apr,thu,170,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
11988,31,housemaid,married,basic.4y,no,no,no,telephone,jun,wed,91,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
34271,30,admin.,single,high.school,no,yes,no,cellular,may,thu,29,8,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
6538,33,admin.,married,high.school,no,no,no,telephone,may,wed,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
20972,49,admin.,married,university.degree,no,yes,no,cellular,aug,thu,260,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
2860,49,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,170,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0
20364,31,technician,single,high.school,no,no,no,cellular,aug,tue,191,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
14024,30,unemployed,married,basic.9y,no,no,no,cellular,jul,fri,154,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
13838,29,technician,married,unknown,no,yes,no,cellular,jul,fri,404,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
23888,41,technician,married,professional.course,no,yes,yes,cellular,aug,fri,264,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
22862,40,admin.,married,university.degree,no,no,no,cellular,aug,mon,23,12,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
10869,41,blue-collar,divorced,basic.4y,no,yes,no,telephone,jun,wed,122,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
319,42,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,173,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
11459,37,services,married,high.school,no,no,no,telephone,jun,fri,115,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
39715,34,admin.,married,university.degree,no,yes,no,cellular,may,fri,407,3,8,3,failure,-1.8,93.876,-40.0,0.695,5008.7,1
13848,51,services,single,basic.6y,no,yes,no,cellular,jul,fri,48,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
5424,39,housemaid,married,high.school,no,yes,no,telephone,may,fri,61,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
2305,33,technician,divorced,high.school,no,no,no,telephone,may,tue,207,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
2074,39,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,281,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
12070,27,self-employed,single,university.degree,no,yes,no,telephone,jun,fri,244,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0
17557,36,management,single,university.degree,no,no,no,cellular,jul,mon,310,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
10894,43,self-employed,married,university.degree,unknown,yes,yes,telephone,jun,wed,1487,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
17367,42,self-employed,married,university.degree,unknown,no,yes,cellular,jul,mon,95,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
30219,35,management,married,university.degree,no,no,no,cellular,apr,thu,375,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
27919,28,admin.,single,high.school,no,yes,no,cellular,mar,fri,300,1,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,1
5127,47,blue-collar,divorced,basic.9y,no,no,yes,telephone,may,fri,322,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
24195,55,admin.,single,university.degree,unknown,no,no,cellular,nov,mon,142,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0
30875,34,services,married,high.school,unknown,no,no,cellular,may,tue,245,5,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
25305,34,blue-collar,married,basic.4y,no,yes,no,cellular,nov,tue,87,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0
22779,44,self-employed,married,basic.9y,unknown,no,no,cellular,aug,mon,136,10,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
12200,39,blue-collar,married,unknown,unknown,no,no,telephone,jul,wed,218,2,999,0,nonexistent,1.4,93.918,-42.7,4.956,5228.1,0
6842,49,services,married,high.school,no,no,no,telephone,may,wed,249,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
5646,36,blue-collar,single,high.school,unknown,no,no,telephone,may,mon,90,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
8111,37,management,married,university.degree,unknown,no,yes,telephone,jun,mon,179,7,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
19036,37,admin.,married,university.degree,no,yes,no,cellular,aug,tue,356,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
17896,40,admin.,single,high.school,no,yes,no,cellular,jul,tue,635,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
38237,59,technician,married,university.degree,no,no,no,cellular,oct,mon,268,1,999,1,failure,-3.4,92.431,-26.9,0.743,5017.5,0
23940,49,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,21,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
36721,53,admin.,single,university.degree,no,yes,no,cellular,jun,fri,304,2,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,1
8262,57,blue-collar,married,high.school,unknown,no,no,telephone,jun,tue,171,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
781,43,technician,married,basic.6y,no,yes,no,telephone,may,wed,261,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0
24986,54,entrepreneur,married,professional.course,no,no,no,cellular,nov,tue,1855,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,1
41086,51,admin.,divorced,high.school,no,yes,yes,cellular,nov,tue,334,2,6,4,failure,-1.1,94.767,-50.8,1.049,4963.6,1
16039,35,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,tue,123,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
17205,53,admin.,married,university.degree,no,no,no,telephone,jul,fri,120,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
24694,53,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,mon,68,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0
40293,34,admin.,divorced,university.degree,no,yes,no,telephone,jul,thu,332,3,999,1,failure,-1.7,94.215,-40.3,0.899,4991.6,1
8643,50,housemaid,divorced,high.school,unknown,yes,no,telephone,jun,wed,763,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
23494,39,admin.,married,university.degree,unknown,no,no,cellular,aug,thu,144,10,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
33264,27,student,single,high.school,no,yes,no,cellular,may,tue,41,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
37897,27,management,single,university.degree,no,yes,no,cellular,sep,tue,137,2,4,2,success,-3.4,92.379,-29.8,0.819,5017.5,0
7029,44,blue-collar,single,basic.4y,no,yes,no,telephone,may,thu,106,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0
26960,29,self-employed,married,university.degree,no,no,no,cellular,nov,thu,157,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0
5100,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,72,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
28110,31,technician,single,high.school,no,yes,no,cellular,apr,fri,596,1,999,1,failure,-1.8,93.075,-47.1,1.479,5099.1,0
13419,29,technician,married,professional.course,no,no,no,cellular,jul,wed,263,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
1677,60,retired,married,university.degree,unknown,yes,no,telephone,may,fri,576,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0
35982,28,self-employed,single,university.degree,no,no,yes,cellular,may,mon,315,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,1
36064,28,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,390,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1
31452,40,services,married,high.school,no,no,no,cellular,may,wed,246,4,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0
5018,35,admin.,married,high.school,no,no,no,telephone,may,wed,15,19,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0
14033,36,services,single,high.school,no,no,no,cellular,jul,fri,254,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
